,EnglishUS,Russian,German,French,Spanish,Polish,Turkish,BrazilianPortugal,Korean,Japanese,ChineseSimp
poq.armor.prefix.none.2.5.tooltip,Energy-Shielded,Энергетически защитный,Energie-geschützt,Blindé Énergétique,Protegido por Energía,Chroniony Energią,Enerji Kalkanı,Protegido por Energia,에너지 방패,エネルギーシールド,能量护盾
poq.armor.prefix.none.2.6.tooltip,Exo-Frame,Экзокадр,Exo-Rahmen,Exo-Cadre,Exo-Estructura,Egzoszkielet,Ekso-Kafes,Estrutura Exo,엑소 프레임,エクソフレーム,外骨骼框架
poq.armor.prefix.none.2.7.tooltip,Grav-Deflecting,Гравитационно-отражающий,Gravitationsablenkend,Déviation Gravitationnelle,Desviación Gravitacional,Odbijający Grawitację,Gravitasyon Düşürme,Desviador Gravitacional,중력 반사,軌道反射,重力反射
poq.armor.prefix.none.2.8.tooltip,Guardian's,Стража,Wächter,Gardien,Guardia,Strażnik,Koruyucu,Guardião,수호자의,ガーディアンの,卫士的
poq.armor.prefix.none.2.9.tooltip,Ironclad,Непобедимый,Panzern,Cloué,Blindado,Żelazny,Demir gibi,Ferro,철갑,鉄壁,铁壁
poq.armor.prefix.none.3.0.tooltip,Kinetic-Dampening,Кинетически демпфирующий,Kinetisch-Dämpfend,Atténuation Cinétique,Atenuación Cinética,Tłumiący Kinetykę,Kinetik Damping,Amortecimento Cinético,운동 저감,運動減衰,动能减震
poq.armor.prefix.none.3.1.tooltip,Nano-Weave,Наноплетение,Nano-Gewebe,Nano-Tissage,Nano-Tejido,Nano-Tkanina,Nano-Net,Nano-Teia,나노 직물,ナノ繊維,纳米编织
poq.armor.prefix.none.3.2.tooltip,Optimized,Оптимизированный,Optimiert,Optimisé,Optimizando,Optymalizowany,Optimize Edilmiş,Otimizados,최적화된,最適化された,优化的
poq.armor.prefix.none.3.3.tooltip,Power-Assisted,С мощной поддержкой,Leistungsunterstützt,Assisté par la Puissance,Asistido por Poder,Wspomagany Mocą,Güç Yardımlı,Assistido por Potência,파워 보조,パワーアシスト,动力辅助
poq.armor.prefix.none.3.4.tooltip,Reactive-Armor,Реактивная броня,Reaktive-Rüstung,Armure Réactive,Armadura Reactiva,Pancerz Reaktywny,Reaktif Zırh,Armadura Reativa,반응 갑옷,反応装甲,反应装甲
poq.armor.prefix.none.3.5.tooltip,Resilient,Устойчивый,Resilient,Résilient,Resiliente,Elastyczny,Dayanıklı,Resiliente,탄력 있는,回復力のある,韧性
poq.armor.prefix.none.3.6.tooltip,Sonic-Damped,Звуковик,Sonic-Dämpfung,Atténué Sonique,Atención Sónica,Tłumienie Soniczne,Sonic Damped,Impulsado Sonicamente,음향 댐프,音波減衰,声波减弱
poq.armor.prefix.none.3.7.tooltip,Stealth-Ops,Операции скрытности,Stealth-Einsätze,Opérations Stealth,Operaciones Sigilosas,Operacje Stealth,Gizli Operasyonlar,Operações Stealth,은폐 작전,ステルス作戦,隐蔽行动
poq.armor.prefix.none.3.8.tooltip,Warden's,Дозорного,Wächter,Gardien,Guardia,Warden,İzci,Guardião,관리자의,ウォーデンの,看护者的
poq.armor.prefix.none.3.9.tooltip,Aegis-Pattern,Модель Эгиды,Aegis-Muster,Modèle Aegis,Patrón Aegis,Wzór Aegis,Aegis Deseni,Padrão Aegis,아이기스 패턴,エイジスパターン,保护模式
poq.armor.prefix.none.4.0.tooltip,Atlas-Rig,Атласный комплект,Atlas-Rig,Atlas-Rig,Atlas-Rig,Atlas-Rig,Atlas-Rig,Atlas-Rig,아틀라스 장비,アトラス装備,大力神装备
poq.armor.prefix.none.4.1.tooltip,Bastion's,Бастионный,Bastion,Bastion,Bastión,Bastion,Bastion,Bastião,요새의,バスティオンの,不可动摇的
poq.armor.prefix.none.4.2.tooltip,Colossus-Grade,Колоссального класса,Kolosse-Güte,Grade Colosse,Grado Coloso,Klasa Kolosa,Kolos Sınıfı,Classe Colosso,거대한 등급,コロッサスグレード,巨型等级
poq.armor.prefix.none.4.3.tooltip,Dominator,Подавляющий,Dominator,Dominant,Dominador,Dominator,Dominator,Dominador,지배자,ドミネーター,统治者
poq.armor.prefix.none.4.4.tooltip,Dreadnought,Дредноут,Schreckensschiff,Dreadnought,Acorazado,Dreadnought,Korkunç Gemisi,Dreadnought,공포함,戦艦,战舰
poq.armor.prefix.none.4.5.tooltip,Hyper-Plated,Гиперпластиковый,Hyper-Plattiert,Hyper-Plat,Hiper-Platado,Hiper-Płytowy,Hiper Kaplama,Hiper-Protegido,하이퍼 플레이트,ハイパープレート,超级铠甲
poq.armor.prefix.none.4.6.tooltip,Impervious,Непроницаемый,Unverwundbar,Impassible,Impenetrable,Niezawodny,Geçirimsiz,Impassível,완벽한,完全無欠な,无懈可击
poq.armor.prefix.none.4.7.tooltip,Impregnable,Неприступный,Unbezwingbar,Impénétrable,Inexpugnable,Nieprzenikniony,Geçilemez,Inexpugnável,무적의,侵攻不可能な,不可征服的
poq.armor.prefix.none.4.8.tooltip,Juggernaut,Нерушимый,Koloss,Colosse,Coloso,Juggernaut,Yüksek Güç,Colosso,거대 전차,ジャガーノート,撞击者
poq.armor.prefix.none.4.9.tooltip,Phantom-Skin,Фантомная оболочка,Phantom-Haut,Peau Fantôme,Piel Fantasma,Skóra Fantoma,Hayalet Derisi,Pele Fantasma,유령 피부,ファントムスキン,幽灵皮肤
poq.armor.prefix.none.5.0.tooltip,Sentinel's,Стража,Sentinel,Sentinelle,Centinela,Sentinel,Gözcü,Sentinela,감시자의,センティネルの,哨兵的
poq.armor.prefix.none.5.1.tooltip,Steel-Sentinel,Стальной страж,Stahl-Sentinel,Sentinelle en Acier,Centinela de Acero,Stalowy Sentinel,Çelik Gözcü,Sentinela de Aço,강철 감시자,スチールセンティネル,钢铁哨兵
poq.armor.prefix.none.5.2.tooltip,Titan-Class,Титанового класса,Titan-Klasse,Classe Titan,Clase Titán,Klasa Tytana,Titangibi,Classe Titã,타이탄 클래스,タイタン級,泰坦级
poq.armor.prefix.none.5.3.tooltip,Unbreakable,Ненарушимый,Unzerbrechlich,Incassable,Inquebrantable,Niezłomny,Kırılmaz,Inquebrantável,깨지지 않는,壊れない,无法打破
poq.armor.prefix.none.5.4.tooltip,Unyielding,Непоколебимый,Zäh,Inflexible,Indócil,Nieustępliwy,Yılmazyayı,Inflexível,굽히지 않는,抗えない,不屈服
poq.armor.prefix.none.5.5.tooltip,Vanguard's,Передового,Vanguard,Avant-Garde,Vanguardia,Vanguard,Öncü,Vanguarda,전위 군의,ヴァンガードの,先锋的
poq.armor.prefix.none.5.6.tooltip,Chrono-Layered,Хронослойный,Chrono-Schichten,Chrono-Couche,Capa Crono,Chrono-Warstwa,Kronik Katman,Camada Crono,크로노 레이어드,クロノレイヤード,时间层叠
poq.armor.prefix.none.5.7.tooltip,Ghost-Weave,Призрачное плетение,Geist-Gewebe,Tissage de Fantôme,Tejido Fantasma,Duch-Tkanina,Hayalet Dokuma,Teceiro Fantasma,유령 짜임,ゴーストウィーブ,幽灵编织
poq.armor.prefix.none.5.8.tooltip,Quantum-Phased,Квантовая фаза,Quantum-Phasen,Phase Quantique,Fase Cuántica,Kwadrat-Faza,Kuantum Fazı,Fase Quântica,양자 단계,量子位相,量子相位
poq.armor.prefix.none.5.9.tooltip,Void-Woven,Плетение пустоты,Leer-Gewoben,Tissé du Vide,Tejido de Vacío,Wyplatający Pustkę,Boşluk Dokuma,Tecido do Vazio,공허 짜임,虚無編成,虚空编织
poq.weapon.prefix.none.1.0.tooltip,Assault,Штурм,Angriff,Assaut,Asalto,Atak,Saldırı,Ataque,공격,攻撃,攻击
poq.weapon.prefix.none.1.1.tooltip,Brutal,Жестокий,Brutal,Brutal,Brutal,Brutalny,Sert,Brutal,잔인한,残忍な,残忍的
poq.weapon.prefix.none.1.2.tooltip,Burst-Fire,Очередной огонь,Burst-Feuer,Tir en Rafale,Tiro en Ráfaga,Strzał Wybuchowy,Patlama Ateşi,Disparo em Rajada,폭발 사격,バーストファイア,突发火力
poq.weapon.prefix.none.1.3.tooltip,Calibrated,Калиброванный,Kalibriert,Calibré,Calibrado,Kalibrowany,Kalibre,Calibrado,측정된,校正された,校准的
poq.weapon.prefix.none.1.4.tooltip,Reinforced,Укрепленный,Verstärkt,Renforcé,Reforzado,Wzmocniony,Güçlendirilmiş,Reforçado,보강된,補強された,强化的
poq.weapon.prefix.none.1.5.tooltip,Tactical,Тактический,Taktisch,Tactique,Táctico,Taktyczny,Taktik,Tático,전술,タクティカル,战术
poq.weapon.prefix.none.1.6.tooltip,Adaptive,Адаптивный,Adaptiv,Adaptatif,Adaptativo,Adaptacyjny,Uyumlu,Adaptativo,적응형,アダプティブ,自适应
poq.weapon.prefix.none.1.7.tooltip,Arc-Blaze,Арковое пламя,Bogen-Glanz,Arc-Flamme,Arco-Llama,Łuk-Płomień,Ateş Arkı,Chama Arqueada,아크 화염,アークブレイズ,电弧火焰
poq.weapon.prefix.none.1.8.tooltip,Cybernetic-Link,Кибернетическая связь,Cybernetischer-Link,Lien Cybernétique,Enlace Cibernético,Cybernetyczne Połączenie,Sibernetik Bağlantı,Conexão Cibernética,사이버네틱 링크,サイボーグリンク,赛博链接
poq.weapon.prefix.none.1.9.tooltip,Demolition,Демолизация,Demolitions-,Démolition,Demoliciones,Dekompozycja,Yıkım,Derrubada,철거,解体,拆除
poq.weapon.prefix.none.2.0.tooltip,Disruptor,Подрывник,Störer,Disrupteur,Disruptor,Zakłócacz,Bozucu,Interferidor,방해자,ディスラプター,干扰器
poq.weapon.prefix.none.2.1.tooltip,Enforcer's,Исполнителя,Durchsetzungs-,Appliqué,Impositor,Egzekutor,Uygulayıcı,Aplicador,집행관의,エンフォーサーの,行动者的
poq.weapon.prefix.none.2.2.tooltip,Grav-Pulse,Гравитационный импульс,Grav-Puls,Pulsation Gravitationnelle,Pulso Gravitacional,Graw-Puls,Grav-Puls,Pulso de Gravidade,중력 펄스,重力パルス,重力脉冲
poq.weapon.prefix.none.2.3.tooltip,Hunter-Killer,Охотник-убийца,Jäger-Killer,Chasseur-Tueur,Cazador-Asesino,Łowca-Zabójca,Avcı-Katiller,Caçador-Matador,헌터 킬러,ハンターキラー,猎杀者
poq.weapon.prefix.none.2.4.tooltip,Incinerator,Инсинератор,Verbrenner,Incinérateur,Incinerador,Incynerator,İnfazcı,Incinerador,소각기,焼却炉,烧夷弹
poq.weapon.prefix.none.2.5.tooltip,Kinetic-Burst,Кинетический взрыв,Kinetisch-Burst,Éclair Cinétique,Explosión Cinética,Kinetic-Wybuch,Kinetik Patlama,Explosão Cinética,운동 폭발,運動バースト,动能爆发
poq.weapon.prefix.none.2.6.tooltip,Nano-Filament,Нанонить,Nano-Filament,Filament Nano,Filamento Nano,Filament Nano,Nano-IP,Filamento Nano,나노 필라멘트,ナノフィラメント,纳米纤维
poq.weapon.prefix.none.2.7.tooltip,Optimized,Оптимизированный,Optimiert,Optimisé,Optimizando,Optymalizowany,Optimize Edilmiş,Otimizados,최적화된,最適化された,优化的
poq.weapon.prefix.none.2.8.tooltip,Penetrator,Проникатель,Durchdringend,Pénétreur,Penetrador,Przenikacz,Delici,Penetrador,관통자,侵入者,穿透者
poq.weapon.prefix.none.2.9.tooltip,Plasma-Charged,Плазменно заряженный,Plasma-geladen,Chargé Plasma,Cargado de Plasma,Naładowany Plazmą,Plazma Yüklü,Carregado com Plasma,플라즈마 충전,プラズマ充電,等离子充电
poq.weapon.prefix.none.3.0.tooltip,Precision,Точность,Präzision,Précision,Precisión,Precyzja,Keskinlik,Precisão,정밀,精密,精度
poq.weapon.prefix.none.3.1.tooltip,Ragefire,Ярость огня,Wutfeuer,Flamme de Rage,Fuego de Ira,Ogniem Wściekłości,Öfke Ateşi,Incêndio de Raiva,분노의 불,ラージファイア,愤怒之火
poq.weapon.prefix.none.3.2.tooltip,Railgun,Рельсотрон,Schienenkanone,Fusil à Rail,Cañón de Riel,Railgun,Ray Tabancası,Canhão de Trilha,레일건,レールガン,磁轨炮
poq.weapon.prefix.none.3.3.tooltip,Relentless,Безжалостный,Unerbittlich,Implacable,Implacable,Niezłomny,Taviz Vermez,Implacável,끈질긴,揺るがない,不屈不挠
poq.weapon.prefix.none.3.4.tooltip,Shadow-Ops,Теневые операции,Schatten-Einsätze,Opérations Ombre,Operaciones Sombra,Cienie Operacje,Gölge Operasyonları,Operações Sombras,그림자 작전,シャドーオプス,影子行动
poq.weapon.prefix.none.3.5.tooltip,Shredder,Разрушитель,Zerschneider,Déchireur,Desgarrador,Rozdrabniacz,Yarık,Destruidor,잘게 썰기,ショレッダー,撕裂者
poq.weapon.prefix.none.3.6.tooltip,Sonic-Wave,Звуковая волна,Sonic-Welle,Onde Sonique,Onda Sónica,Fala Soniczna,Sonic Dalga,Onda Sônica,음파,ソニックウェーブ,声波
poq.weapon.prefix.none.3.7.tooltip,Swiftfire,Быстротечный огонь,Schnellfeuer,Tir Rapide,Fuego Rápido,Szybki Ogień,Hızlı Ateş,Incêndio Rápido,신속한 불,スウィフトファイア,快速火力
poq.weapon.prefix.none.3.8.tooltip,Alpha-Strike,Альфа-удар,Alpha-Angriff,Frappé Alpha,Ataque Alpha,Atak Alpha,Alpha Vuruşu,Ataque Alpha,알파 스트라이크,アルファストライク,阿尔法打击
poq.weapon.prefix.none.3.9.tooltip,Annihilation,Полное уничтожение,Vernichtung,Annihilation,Aniquilación,Anihilacja,İmha,Aniquilação,전멸,アナイアレイション,毁灭
poq.weapon.prefix.none.4.0.tooltip,Apex-Tier,Высшего уровня,Gipfelklasse,Niveau Apex,Nivel Apex,Klasa Apex,Zirve Seviye,Classe Apex,정점 계층,アペックスティア,顶级
poq.weapon.prefix.none.4.1.tooltip,Devastator,Уничтожитель,Zerstörer,Dévastateur,Devastador,Dezorganizator,Yıkıcı,Devastador,파괴자,デヴァステーター,毁灭者
poq.weapon.prefix.none.4.2.tooltip,Exterminator,Истребитель,Ausrottungs-,Exterminateur,Exterminador,Wykonawca,Yok Edici,Exterminador,박멸자,エクスターミネーター,消灭者
poq.weapon.prefix.none.4.3.tooltip,Hyper-Velocity,Гиперскоростной,Hyper-Geschwindigkeit,Hyper-Vélocité,Hiper-Velocidad,Hiper-Prędkość,Hiper Hız,Hiper-Velocidade,하이퍼 속도,ハイパーベロシティ,超高速度
poq.weapon.prefix.none.4.4.tooltip,Obliterator,Уничтожитель,Vernichter,Oblitérateur,Obliterador,Wybuchacz,Eldiven,Obliterador,말살자,オブリタレーター,根绝者
poq.weapon.prefix.none.4.5.tooltip,Orbital-Strike,Орбитальный удар,Orbital-Schock,Frappe Orbitale,Impacto Orbital,Orbitalny-Atak,Yörüngesel Darbe,Ataque Orbital,궤도 타격,軌道攻撃,轨道打击
poq.weapon.prefix.none.4.6.tooltip,Phantom-Class,Фантомного класса,Phantom-Klasse,Classe Fantôme,Clase Fantasma,Klasa Fantom,Hayalet Sınıfı,Classe Fantasma,유령 클래스,ファントムクラス,幽灵级
poq.weapon.prefix.none.4.7.tooltip,Predator's,Хищника,Prädator,Prédateur,Depredador,Drapieżnik,Avcı,Predador,포식자의,プレデターの,捕食者的
poq.weapon.prefix.none.4.8.tooltip,Pulsar,Пульсар,Pulsar,Pulsar,Pulsar,Pulsar,Pulsar,Pulsar,펄서,パルサー,脉冲星
poq.weapon.prefix.none.4.9.tooltip,Sentinel's,Стража,Sentinel,Sentinelle,Centinela,System Obserwatora,Gözlemcinin,Sentinela,감시자의,センティネルの,哨兵的
poq.weapon.prefix.none.5.0.tooltip,Stormcall,Призыв шторма,Sturmrufer,Appel de Tempête,Llamada de Tormenta,Zwołanie Burzy,Fırtına Çağırışı,Chamado da Tempestade,폭풍 소환,ストームコール,风暴召唤
poq.weapon.prefix.none.5.1.tooltip,Terminator,Терминатор,Terminator,Terminator,Terminador,Terminatrix,Terminatör,Terminador,종말자,ターミネーター,终结者
poq.weapon.prefix.none.5.2.tooltip,Vanguard,Передовой,Vanguard,Avant-Garde,Vanguardia,Vanguard,Öncü,Vanguarda,전위군,ヴァンガード,先锋
poq.weapon.prefix.none.5.3.tooltip,Beam-Forge,Лучевая ковка,Laser-Schmiede,Forge de Faisceau,Forja de Rayo,Warsztat Promienia,Işın Üretimi,Forja de Feixe,빔 대장,ビームフォージ,射线锻造
poq.weapon.prefix.none.5.4.tooltip,Chrono-Synched,Хроносинхронный,Chrono-Synchronisiert,Chrono-Synchronisé,Sincronizado Crono,Chrono-Zsynchronizowane,Kronik Senkronizasyon,Crono-Sincronizado,크로노 동기화,クロノシンク,时间同步
poq.weapon.prefix.none.5.5.tooltip,Ghost-Protocol,Призрачный протокол,Geist-Protokoll,Protocole Fantôme,Protocolo Fantasma,Duch-Protokół,Hayalet Protokolü,Protocolo Fantasma,유령 프로토콜,ゴーストプロトコル,幽灵协议
poq.weapon.prefix.none.5.6.tooltip,Doombringer,Принесущий гибель,Untergangsbringer,Apporte-Destruction,Portador de Doom,Niosiciel Zagłady,Kırılma Getiren,Portador de Doom,운명 가져오는 자,ドゥームブリンガー,厄运使者
poq.weapon.prefix.none.5.7.tooltip,Omega-Pattern,Омега-шаблон,Omega-Muster,Modèle Omega,Patrón Omega,Wzór Omega,Omega Deseni,Padrão Ômega,오메가 패턴,オメガパターン,终极模式
poq.weapon.prefix.none.5.8.tooltip,Quantum-Phase,Квантовая фаза,Quantum-Phase,Phase Quantique,Fase Cuántica,Kwadrat-Phas,Kuantum Fazı,Fase Quântica,양자 단계,量子位相,量子阶段
poq.weapon.prefix.none.5.9.tooltip,Void-Infused,Наполненный пустотой,Leer-Durchtränkt,Infusé du Vide,Infundido de Vacío,Nasycony Pustką,Boşluktan Dolu,Infundido de Vazio ,공허 주입,虚無注入,虚空注入
poq.modconfig.label.enable.tooltip,Enable \ Disable mod. This stops item generation but keep existing items.,"Включить/Отключить мод. Это останавливает генерацию предметов, но сохраняет существующие.","Mod aktivieren/deaktivieren. Dies stoppt die Gegenstandserzeugung, behält aber bestehende Gegenstände bei.",Activer/Désactiver le mod. Cela arrête la génération d'objets mais conserve les objets existants.,Habilitar/Deshabilitar mod. Esto detiene la generación de objetos pero mantiene los objetos existentes.,"Włącz/Wyłącz mod. Zatrzymuje to generowanie przedmiotów, ale zachowuje istniejące.","Modu Etkinleştir/Devre Dışı Bırak. Bu, eşya üretimini durdurur ancak mevcut eşyaları korur.","Ativar/Desativar mod. Isso interrompe a geração de itens, mas mantém os itens existentes.",모드 활성화/비활성화. 아이템 생성을 중지하지만 기존 아이템은 유지합니다.,Modを有効/無効にします。これによりアイテムの生成は停止しますが、既存のアイテムは保持されます。,启用/禁用模组。这将停止物品生成但保留现有物品。
poq.modconfig.label.enable.name,Enable,Включить,Aktivieren,Activer,Habilitar,Włącz,Etkinleştir,Ativar,활성화,有効,启用
poq.modconfig.label.cleanupmode.tooltip,"Cleanup mode. Load game, move all items made by mod to SHIP STORAGE. Save game, enable cleanup, load game, done!","Режим очистки. Загрузите игру, переместите все предметы, созданные модом, в ХРАНИЛИЩЕ КОРАБЛЯ. Сохраните игру, включите очистку, загрузите игру, готово!","Bereinigungsmodus. Spiel laden, alle vom Mod erstellten Gegenstände in den SCHIFFSLAGER bewegen. Spiel speichern, Bereinigung aktivieren, Spiel laden, fertig!","Mode de nettoyage. Chargez la partie, déplacez tous les objets créés par le mod vers le STOCKAGE DU VAISSEAU. Sauvegardez la partie, activez le nettoyage, chargez la partie, terminé !","Modo de limpieza. Carga la partida, mueve todos los objetos creados por el mod al ALMACÉN DE LA NAVE. Guarda la partida, activa la limpieza, carga la partida, ¡listo!","Tryb czyszczenia. Wczytaj grę, przenieś wszystkie przedmioty stworzone przez mod do MAGAZYNU STATKU. Zapisz grę, włącz tryb czyszczenia, wczytaj grę, gotowe!","Temizleme modu. Oyunu yükleyin, mod tarafından oluşturulan tüm öğeleri GEMİ DEPOSU'na taşıyın. Oyunu kaydedin, temizlemeyi etkinleştirin, oyunu yükleyin, bitti!","Modo de limpeza. Carregue o jogo, mova todos os itens feitos pelo mod para o ARMAZENAMENTO DA NAVE. Salve o jogo, ative a limpeza, carregue o jogo, pronto!","정리 모드. 게임을 로드하고, 모드로 생성된 모든 아이템을 함선 보관함으로 옮깁니다. 게임 저장, 정리 활성화, 게임 로드, 완료!",クリーンアップモード。ゲームをロードし、Modによって作成されたすべてのアイテムを船のストレージに移動します。ゲームを保存し、クリーンアップを有効にし、ゲームをロードすれば完了です！,清理模式。加载游戏，将模组生成的所有物品移动到飞船货舱。保存游戏，启用清理模式，加载游戏，完成！
poq.modconfig.label.cleanupmode.name,Clean up mode,Режим очистки,Bereinigungsmodus,Mode de nettoyage,Modo de limpieza,Tryb czyszczenia,Temizleme modu,Modo de limpeza,정리 모드,クリーンアップモード,清理模式
poq.modconfig.label.debugmode.tooltip,Debug log,Журнал отладки,Debug-Protokoll,Journal de débogage,Registro de depuración,Dziennik debugowania,Hata ayıklama günlüğü,Log de depuração,디버그 로그,デバッグログ,调试日志
poq.modconfig.label.debugmode.name,Some debug logs,Некоторые журналы отладки,Einige Debug-Protokolle,Quelques journaux de débogage,Algunos registros de depuración,Kilka dzienników debugowania,Bazı hata ayıklama günlükleri,Aalguns logs de depuração,일부 디버그 로그,いくつかのデバッグログ,一些调试日志
